Date,EURO STOXX 50,FTSE 100,MSCI China,Nasdaq-100,NYSE Arca Gold BUGS,S&P 500
06/2017,15114.276300931306,20119.950613119996,22540.06890995423,49767.27650395462,6713.152676801056,32198.46714605058
07/2017,15576.635777928735,20506.24760959983,24556.285033512177,51837.42110729408,7090.548578982154,32860.556540507205
08/2017,15593.39898612979,20431.94220299161,25598.676654610277,52861.62818566748,7685.393258426966,32961.17761064188
09/2017,16370.676948016979,21133.516095452662,25867.802595265435,52794.35967084764,7112.6900198281555,33641.0924887954
10/2017,16503.363273325376,21289.465547839616,26895.9665392461,55189.90173364225,6737.937871777924,34426.10201407318
11/2017,16337.274563937763,21255.600118704377,27315.254469719035,56296.95613965007,6711.169861202909,35481.93500787348
12/2017,16246.706426987786,22407.808368699712,27838.250167132348,56582.40792522168,6970.2577660277575,35876.43567409234
01/2018,17396.846660149964,23029.36438126626,31314.774499888572,61497.48342254534,7119.960343688036,37930.495754919546
02/2018,16271.227610497237,21687.97588252388,29309.357697516152,60720.38028281537,6231.989424983477,36532.537357809066
03/2018,16056.531080618055,21658.681882691202,28344.61833827588,58321.402892066784,6375.743555849305,35604.09807181948
04/2018,16655.16220408949,22563.203737882304,28338.61871539503,58553.88671406887,6487.772637144745,35740.71423065487
05/2018,15724.763597943345,22536.04667280335,28867.09978229939,61844.052089158744,6547.918043621942,36601.43044344848
06/2018,15637.972983730504,22170.660973465016,27368.90824005348,62511.464408404565,6352.61070720423,36826.69225093875
07/2018,16361.828141726317,22501.096608584558,26704.49286044877,64228.32947191819,6055.849306014541,38197.1897677594
08/2018,15640.80953482237,21477.56680367101,25693.299278331073,68053.60709435168,5216.787838730998,39441.80771051964
09/2018,15582.73188731902,21837.634121234412,25337.435932598517,67843.57274107214,5145.076007931262,39666.31245113476
10/2018,14341.490990237577,20281.500619967916,22431.732862505785,61987.37716705281,5209.187045604759,36955.11832267014
11/2018,14291.600702242238,19984.92478058615,24075.80094965459,61906.60701446033,5293.787177792465,37708.19339066852
12/2018,13645.802360988662,19357.341656113615,22618.749678591626,56418.47087960374,5871.777924653007,34303.52600455891
01/2019,14444.609816390448,20557.800183081075,25120.249584311838,61577.61444435568,6230.667547918043,37052.43582825869
02/2019,14988.06050176205,21319.989990978316,25987.280799492597,63346.40888391787,6154.990085922009,38242.13201043926
03/2019,15019.279924646082,21672.01218784043,26620.498140116903,65886.15482943197,6224.388631857237,38985.22756053781
04/2019,15795.772949414482,22034.206701767107,27214.11796972761,69500.19972836942,5741.573033707865,40563.71199524286
05/2019,14833.647513155625,20687.408222066366,23661.82697087611,63737.47703123751,5759.418374091209,37985.96810959024
06/2019,16046.846167508995,21713.597042485253,25576.735176646034,68627.62642805785,7123.925974884335,40663.09422867273
07/2019,15709.961751389483,21284.473243409684,25448.171829199302,70239.83382599664,7317.580964970257,41247.549856294936
08/2019,15381.06093851016,20442.415525633503,24385.038654713127,68901.01462011664,8380.700594844679,40594.13231877194
09/2019,15821.666595213786,21234.98019600394,24382.124552171,69457.13829192298,7470.918704560475,41353.67686733985
10/2019,16381.724533059456,21950.48851446336,25366.405540223182,72480.8660222098,8091.870456047589,42249.35580491349
11/2019,16580.182503679567,22236.02754027833,25818.777105439083,75422.78501238314,7902.181097157963,43782.96682120007
12/2019,17164.11613995409,23418.51445093504,27970.24187051099,78415.19533434529,8906.807666886978,45104.46146391956
01/2020,16436.386999032813,22505.363829380207,26626.84059859094,80761.0449788288,8638.136153337739,45086.7736287454
02/2020,14943.93583808609,20070.2822882978,26885.68147145036,76068.14731964529,7942.167878387309,41375.28768541254
03/2020,12497.504042896842,16692.78537231716,25113.05003685482,70287.60885196133,6865.829477858559,36264.87980530992
04/2020,13066.803998421927,17561.265566760234,26699.178908754304,80985.61955740194,9868.473231989425,40913.82101287288
05/2020,14012.889892188367,17924.497742394055,26573.358246053096,86061.11688104177,10094.514210178453,42862.44232526896
06/2020,14992.027802505841,18090.945559009433,28972.693145002308,91521.93017496205,10897.22405816259,43714.899626697195
07/2020,15607.606680667473,18579.562270772672,31724.97728714195,98292.40233282735,12965.300727032385,46179.77172368985
08/2020,16229.593222192741,19146.429242148068,33527.60683614172,109236.79795478149,13018.50627891606,49499.165849952085
09/2020,15543.972946304591,18154.473753871946,32613.607144693757,103026.76360150195,12111.368142762722,47618.33643501338
10/2020,14395.448027779927,17474.19398882812,34339.0986852255,99758.40856435247,11655.320555188368,46352.03884991906
11/2020,17408.772580850997,20247.09045944423,35291.66738090748,110803.86674123189,10521.480502313285,51425.90104722995
12/2020,18147.620020710412,21405.85561205828,36268.40598590945,116431.1736038987,11133.179114342365,53403.15325235928
01/2021,17610.040575963132,21364.52799933184,38938.923839072966,116794.11999680434,10538.003965631195,52863.98398872382
02/2021,18387.55431169724,22005.912081345094,38535.92059927661,116719.5813693377,9302.709847984137,54321.68184471043
03/2021,19188.64052733558,22650.082257617127,36114.12996897337,118416.47359590956,9894.910773298083,56700.730087764685
04/2021,20133.20983454066,23832.696589965435,36617.41261977819,125407.92522169846,10280.568407138135,59726.79521203377
05/2021,20799.421954984442,24566.987059778043,36903.851757889504,123912.03962610848,11943.8202247191,60143.93906024599
06/2021,20397.66300271033,24083.02216963398,36952.02015873287,131820.8835983063,10022.471910112357,61548.022816619115
07/2021,20556.718968878355,24301.39042603475,31848.5695184874,135520.97147878885,10275.280898876405,63010.05660107253
08/2021,20996.648994890707,24470.162979222678,31850.455114249955,141246.62459055684,9550.561797752809,64925.917565052674
09/2021,19843.629224552617,23854.084113249522,30253.355503368355,133196.61260685467,8661.599471249174,61906.25309709175
10/2021,20984.33761013638,24973.596880260553,31208.324048202678,143756.01182391946,9394.249834765365,66243.48922487363
11/2021,19589.727811956305,23647.817385096547,29345.18401700464,146428.05784133577,9614.011896893588,65784.50022574356
12/2021,20660.111900026324,25027.632606520037,28420.213586574548,148146.92018854356,9798.41374752148,68732.7251103941
01/2022,19784.649332471578,25190.570505496686,27581.980561221862,135558.3606295438,9355.254461335093,65176.02493090043
02/2022,18684.78321771002,25245.784866567923,26506.333887584206,129357.35399856196,10608.724388631856,63224.51299952649
03/2022,18436.91642399282,25064.429765489498,24387.095668272275,134871.9341695294,11845.00991407799,65572.03973086958
04/2022,17140.376090046473,24173.361732098758,23391.501105644784,116866.50155788127,10734.302709847982,59854.05127132174
05/2022,17574.07644152901,24488.29076590421,23670.226442909297,115030.518494847,9684.401850627892,59963.825968219695
06/2022,15546.624866342006,22250.216570658755,25239.899206335598,104720.61995685866,8424.983476536681,55014.191562696134
07/2022,16399.184732418464,23139.959766043477,22856.67758026638,117903.33146920188,7912.756113681427,60086.74609904084
08/2022,15261.059244244198,21916.967181593158,22908.61717263486,111838.77926020611,7152.346331791143,57636.32709693758
09/2022,14048.522053970924,19741.532335118773,19576.769460205356,100025.08588319884,7466.622604097818,52328.04946537312
10/2022,15586.026490250208,21202.947933442603,16286.062018958806,104018.61468402972,7522.471910112359,56564.595698758945
11/2022,17894.428866377406,23668.27955748903,21125.529252446984,109822.75305584405,8831.460674157302,59725.69402385172
12/2022,17609.865767938085,23371.89325614044,22225.174417608032,99904.92929615722,8869.464639788499,56284.618603473136
01/2023,19653.52780171641,24944.106288257586,24843.409842809877,110548.88551569864,9904.163912756112,59821.222098644415
02/2023,19631.646280118468,24986.054781089617,22265.971853197796,110096.90820484141,8401.850627891605,58361.59716333923
03/2023,20497.150494559883,24890.99111442647,23271.68006582443,120573.25237676759,9937.541308658294,60504.30289282133
04/2023,21036.62073504799,25952.18428195297,22071.92690745153,121188.63146121275,10114.342366159945,61448.709407450624
05/2023,20013.30925732083,24459.878077779445,20213.92941015136,130517.22457457856,9370.786516853932,61715.816365858744
06/2023,21239.35477549587,25394.931092130395,21026.6211838113,139040.87241351762,9110.376734963647,65793.72267676822
07/2023,21921.834966569568,26386.478991314063,23310.077652261854,144365.7745466166,9428.618638466622,67907.31574368742
08/2023,20784.655266457743,25378.92196324073,21223.065978709907,142144.89893744505,8872.438863185724,66826.1554217
09/2023,19694.97015577336,25116.560907121435,20641.44539486089,134985.2920028761,8099.471249173826,63640.00506546562
10/2023,19218.505506106358,23994.31133945339,19761.900680528648,132220.69984820642,8523.793787177792,62301.85495149265
11/2023,21373.676805290914,25555.881195471145,20260.555050825373,146468.04346089318,9478.849966953072,67991.6254638755
12/2023,22299.061753375707,26663.724584134237,19772.528583917578,154553.82280099066,9569.398545935228,71080.52713878272
01/2024,22510.603643597624,26261.507779409505,17674.54617138351,157456.09171526722,8602.445472571051,72274.97219499838
02/2024,23622.18879579789,26285.5308719659,19158.167200918797,165915.7465846449,8040.978189028419,76134.15500324848
03/2024,24610.473105415662,27567.799594988253,19339.527229716987,167926.22034033714,9769.662921348314,78583.74811421522
04/2024,23804.268249650835,28084.317949325297,20616.075560964735,160472.37357194212,10218.44018506279,75373.99103632818
05/2024,24612.495269519924,29062.64315558574,21114.044260075076,170675.94471518736,11060.145406477197,79111.42372620055
06/2024,23857.487424122344,28608.691132686134,20725.097279599566,181337.11752017256,10625.578321216124,81950.08038673727
07/2024,24054.900305366387,29760.309536773362,20470.71326945163,178429.87936406487,12103.436880370125,82947.6192311504
08/2024,25072.092120880945,30830.445882862747,20696.640987393388,180489.79787489015,12447.124917382682,84959.62768827564
09/2024,25549.063822102627,30865.77992274357,25683.92844544291,185077.42270512102,12724.719101123594,86774.11051524593
10/2024,24002.737348296814,29491.785756562072,24144.847156901542,183549.1012223376,12790.482485128881,85987.24273491095
11/2024,23211.82895388962,29563.27209478314,23019.519906361515,193255.4845410242,12017.845340383345,91034.74524011405
12/2024,23274.120602205978,28804.034174802906,23716.254638814622,194095.49412798593,11005.28750826173,88864.6474546035
01/2025,25169.033891345498,30348.59522426473,23850.539462233977,198445.3702963969,12489.094514210177,91339.29259671182
02/2025,26082.369491817106,31382.23395158275,26690.64700538184,193064.15275225692,12499.999999999998,90147.53168668992
